categoria,nombre,descripcion,oz12,oz16,single,sabores,tags,limitado
Café Caliente,Café Americano,"Espresso de origen mexicano, aromático y de cuerpo limpio.",,,55,,,
Café Caliente,Latte clásico,"Espresso con leche caliente y una corona de espuma sedosa.",,,70,,Favorito,
Café Caliente,Latte con sabor,"Vainilla, caramelo o avellana sobre nuestro latte de la casa.",,,80,"Vainilla,Caramelo,Avellana",,
Café Caliente,Caramel Macchiato,"Capas de leche vaporizada, espresso y caramelo tostado.",,,90,,Más pedido,
Café Caliente,Cappuccino clásico,"Balance perfecto de espresso, leche y espuma aterciopelada.",,,70,,,
Café Caliente,Cappuccino con sabor,"Vainilla, caramelo o avellana para consentir tu antojo.",,,80,"Vainilla,Caramelo,Avellana",,
Café Frío,Café Americano frío,"Refrescante y equilibrado, servido sobre hielo.",50,55,,,,
Café Frío,Latte frío clásico,"Espresso y leche fría en su versión más cremosa.",60,70,,,,
Café Frío,Latte frío con sabor,"Vainilla, caramelo o avellana bien fríos.",70,80,,"Vainilla,Caramelo,Avellana",,
Café Frío,Caramel Macchiato frío,"Caramelo, leche fría y espresso en capas irresistibles.",80,90,,,,
Café Frío,Crunch Latte,"Latte frío con un crocante toque de galleta y caramelo.",105,125,,,Nuevo,
Café Frío,Horchata Latte,"La dulzura de la horchata mexicana unida al espresso.",75,85,,,Recomendado,
Frappés,Regular,"Nuestro frappé de café clásico, cremoso y helado.",65,75,,,,
Frappés,Caramel Frappé,"Café licuado con caramelo y crema batida.",72,85,,,,
Frappés,Avellana Frappé,"Frappé de café con el aroma tostado de la avellana.",72,85,,,,
Frappés,Frappé Chai,"Especias chai licuadas en un frappé reconfortante.",95,105,,,,
Frappés,Matcha Frappé,"Matcha ceremonial batido y helado, vibrante y suave.",105,115,,,Más pedido,
Frappés,Horchata Latte Frappé,"Horchata y café licuados en un abrazo helado.",75,85,,,,
Matcha,Matcha Latte,"Matcha ceremonial con leche vaporizada, terroso y dulce.",90,110,,,Favorito,
Matcha,Matcha Horchata,"El encuentro de matcha y horchata en perfecta armonía.",95,115,,,,
Matcha,Cheesecake Matcha,"Matcha cremoso con notas de cheesecake, todo un postre.",120,145,,,Especial,
Chai,Chai Latte,"Té chai especiado con leche vaporizada y canela.",80,90,,,,
Chai,Dirty Chai,"Chai latte con un shot de espresso para más carácter.",90,100,,,Recomendado,
Sin Café,Jamaica Tonic,"Flor de jamaica y agua tónica, burbujeante y refrescante.",,,60,,,
Sin Café,Horchata Frappé,"Horchata mexicana licuada y helada, sin café.",,,70,,,
Sin Café,Horchata Refresca,"Horchata fresca servida sobre hielo.",,,55,,,
Sin Café,Agua Natural,"Agua purificada para acompañar tu visita.",,,10,,,
Postres,Flan Casero,"Flan cremoso hecho en casa con caramelo dorado.",,,40,,,si
